,latitude,longitude,bathrooms,bedrooms,beds,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
6312,37.9846,23.73813,1.0,1.0,1.0,1.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6313,37.98442,23.73812,1.0,1.0,1.0,1.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6314,37.9799833,23.7300251,1.0,1.0,2.0,3.0,1125.0,5.0,5.0,4.95,5.0,5.0,4.9,4.95,0.77
6315,37.98536,23.74028,1.0,1.0,1.0,1.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6316,37.98599,23.73818,1.0,1.0,1.0,1.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6317,37.98416,23.73952,1.0,1.0,1.0,1.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6318,37.97789760000001,23.7251293,1.0,1.0,2.0,1.0,365.0,4.85,4.94,4.92,4.97,4.95,4.9,4.87,3.66
6319,37.99717,23.77835,1.0,1.0,2.0,2.0,365.0,4.96,4.96,4.98,4.98,4.98,4.9,4.94,1.8
6320,37.96457,23.72679,1.0,1.0,1.0,3.0,1125.0,4.88,4.83,4.88,4.84,4.91,4.81,4.86,2.67
6321,37.99519,23.72501,1.0,1.0,2.0,1.0,1125.0,4.59,4.79,4.62,4.71,4.71,4.12,4.68,1.17
6322,37.99548720000001,23.7309859,0.0,1.0,0.0,2.0,60.0,4.49,4.55,4.55,4.68,4.55,4.21,4.57,1.66
6323,37.9820693,23.7203064,1.0,1.0,1.0,1.7,365.0,4.89,4.89,5.0,5.0,4.78,4.78,4.89,0.62
6324,37.95737,23.72878,1.0,1.0,2.0,5.5,1125.0,4.61,4.78,4.73,4.66,4.76,4.51,4.51,1.46
6325,37.9820693,23.7203064,1.0,1.0,2.0,1.7,365.0,5.0,5.0,5.0,5.0,5.0,4.86,4.93,0.49
